,ip,date,time,zone,cik,accession,extention,code,size,idx,norefer,noagent,find,crawler,browser
79,137.116.195.jga,2017-06-26,00:00:00,0.0,1389563.0,0001172661-17-001224,-index.htm,301.0,682.0,1.0,0.0,0.0,10.0,0.0,
80,137.116.195.jga,2017-06-26,00:00:00,0.0,1483866.0,0001172661-17-000989,-index.htm,301.0,681.0,1.0,0.0,0.0,10.0,0.0,
81,137.116.195.jga,2017-06-26,00:00:00,0.0,1478982.0,0001085146-16-004698,-index.htm,301.0,685.0,1.0,0.0,0.0,10.0,0.0,
82,137.116.195.jga,2017-06-26,00:00:00,0.0,1553733.0,0001172661-17-001119,-index.htm,301.0,681.0,1.0,0.0,0.0,10.0,0.0,
83,137.116.195.jga,2017-06-26,00:00:00,0.0,1484148.0,0000950123-17-004380,-index.htm,301.0,683.0,1.0,0.0,0.0,10.0,0.0,
84,137.116.195.jga,2017-06-26,00:00:00,0.0,1050442.0,0001050442-17-000006,-index.htm,301.0,679.0,1.0,0.0,0.0,10.0,0.0,
85,137.116.195.jga,2017-06-26,00:00:00,0.0,1063296.0,0000905718-17-000559,-index.htm,301.0,683.0,1.0,0.0,0.0,10.0,0.0,
86,137.116.195.jga,2017-06-26,00:00:00,0.0,1568820.0,0001606587-17-000351,-index.htm,301.0,683.0,1.0,0.0,0.0,10.0,0.0,
87,137.116.195.jga,2017-06-26,00:00:00,0.0,1542280.0,0001144204-17-027232,-index.htm,301.0,685.0,1.0,0.0,0.0,10.0,0.0,
88,138.246.2.cha,2017-06-26,00:00:00,0.0,1133494.0,0001144204-06-022511,.txt,200.0,8119.0,0.0,0.0,0.0,10.0,0.0,
89,141.160.13.ihd,2017-06-26,00:00:00,0.0,912595.0,0001127602-17-002498,.txt,200.0,6526.0,0.0,0.0,0.0,10.0,0.0,
90,141.160.13.ihd,2017-06-26,00:00:00,0.0,912595.0,0001127602-17-002497,.txt,200.0,6432.0,0.0,0.0,0.0,10.0,0.0,
91,158.132.91.haf,2017-06-26,00:00:00,0.0,1513161.0,0001209191-15-034346,.txt,301.0,644.0,0.0,0.0,0.0,10.0,0.0,
92,158.132.91.haf,2017-06-26,00:00:00,0.0,1513161.0,0001209191-15-034346,.txt,200.0,2440.0,0.0,0.0,0.0,10.0,0.0,
93,158.132.91.haf,2017-06-26,00:00:00,0.0,1512507.0,0001144204-15-022931,.txt,200.0,2518.0,0.0,0.0,0.0,10.0,0.0,
94,163.172.71.jij,2017-06-26,00:00:00,0.0,1046880.0,0001144204-13-012370,v336807_sc13da.htm,301.0,671.0,0.0,0.0,0.0,10.0,0.0,
95,167.160.109.ajc,2017-06-26,00:00:00,0.0,945276.0,0000890566-01-000193,.txt,200.0,10594.0,0.0,0.0,0.0,10.0,0.0,
96,167.160.109.ajc,2017-06-26,00:00:00,0.0,883558.0,0000912057-01-007147,.txt,200.0,86919.0,0.0,0.0,0.0,10.0,0.0,
97,172.113.252.hdj,2017-06-26,00:00:00,0.0,1619017.0,0001619017-14-000001,primary_doc.xml,200.0,6240.0,0.0,0.0,0.0,10.0,0.0,
98,172.113.252.hdj,2017-06-26,00:00:00,0.0,1582126.0,0001582123-13-000002,primary_doc.xml,200.0,6141.0,0.0,0.0,0.0,10.0,0.0,
